"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"226618_at",-1.79550366309847,7.4606121673934,-6.49637125120759,9.09244907810696e-10,2.25047375892032e-08,11.879440021198
"238996_x_at",-1.33184839989462,7.840898641006,-6.4926608092003,9.27301786847972e-10,2.29101785792647e-08,11.8604035808419
"201068_s_at",-1.07989549901886,10.2714919449294,-6.49179797171249,9.31551088709501e-10,2.30047677394724e-08,11.8559777083798
"207508_at",-1.13833429320703,10.2720066342513,-6.49136674946857,9.33681946125513e-10,2.30436796852525e-08,11.8537659101483
"200954_at",-1.40804372524855,7.18697414775284,-6.49130858776711,9.33969715272421e-10,2.30436796852525e-08,11.8534675974125
"205678_at",-1.01863349676049,7.98506026054387,-6.49075843516181,9.36696049120091e-10,2.31005216444028e-08,11.8506459297691
"215066_at",1.46411750187795,5.9264567986441,6.48949409737988,9.42991305596912e-10,2.32452883830077e-08,11.8441618257176
"210570_x_at",-1.15023288427324,6.01582398888746,-6.48910084378263,9.44957825744381e-10,2.32832668420793e-08,11.8421451929103
"235805_at",1.24324612079118,6.11062851476959,6.48764969058317,9.52249499931388e-10,2.34435313849901e-08,11.8347041989587
"221562_s_at",-1.12448254603922,6.40445605520339,-6.48707957664194,9.55129298414062e-10,2.34899613387278e-08,11.8317811276665
"213850_s_at",1.08577991184117,9.31819232468238,6.48587828877851,9.6122540350272e-10,2.35992404577318e-08,11.8256224167339
"240399_at",1.1539649635455,7.41464248351035,6.48587645796945,9.61234723353793e-10,2.35992404577318e-08,11.8256130311348
"236216_at",1.51461685260003,5.55372594550343,6.48247617636515,9.78698383630078e-10,2.39956655268944e-08,11.8081842693381
"243275_at",1.53695509183203,5.02668796767682,6.48099662336648,9.86394400533858e-10,2.41735158445489e-08,11.8006022376609
"237026_at",1.13920181907988,6.81977972886129,6.48060936881708,9.88418548536894e-10,2.42122688804905e-08,11.7986179043256
"208859_s_at",1.1427791004371,9.87610951320572,6.47489751653835,1.01875290316035e-09,2.49106954294688e-08,11.7693579129857
"202930_s_at",-1.11058763468479,9.24229072914726,-6.47375299447525,1.02494043185134e-09,2.5050790394042e-08,11.7634967284266
"219960_s_at",-1.20700100485221,6.91119958962429,-6.4723696905478,1.03246822640943e-09,2.52139072660037e-08,11.7564135422915
"206915_at",1.31608523716275,6.34950954231904,6.47235717256472,1.03253659567595e-09,2.52139072660037e-08,11.7563494482457
"223786_at",1.71850473626285,4.39454646900166,6.47216841459156,1.0335680721431e-09,2.52278278323322e-08,11.7553829865768
"218405_at",-1.39093383010876,5.2460225439006,-6.46870844576975,1.05265581745397e-09,2.56708103565101e-08,11.7376705210195
"209200_at",-1.34546101362359,11.3668570522877,-6.46723385408849,1.06089575554283e-09,2.58486967176043e-08,11.730123413946
"206066_s_at",-1.2757741883599,5.32106290727114,-6.46698823492717,1.06227441299286e-09,2.58707588108618e-08,11.7288664096601
